,user_id,name,username,location,number_tweet,number_following,number_follower,avatar_url
40,1239214469596631041,Phạm Khắc Nguyên,PhmKhcNguyn2,"Hà Nội, Việt Nam",83,1,2,https://pbs.twimg.com/profile_images/1239215134901334017/6lxGR9k4_400x400.jpg
41,1069793637028876288,3Minhmeow,3Minhmeow,Hanoi,5791,824,213,https://pbs.twimg.com/profile_images/1241024056578596865/j-S7qf0I_400x400.jpg
42,740564969788317696,Nguyen Tien Dat,DatNguyen1002,"Hanoi, Vietnam",943,92,24,https://pbs.twimg.com/profile_images/1242315218165706753/T4j1MiaA_400x400.jpg
43,23178492,Brett Wertz,hehyeah,"Hà Nội, Việt Nam",954,465,423,https://pbs.twimg.com/profile_images/1153151989812826113/Xoh25dSq_400x400.jpg
44,938468424061108224,shilverone,sonfrohd,,811,1446,166,https://pbs.twimg.com/profile_images/1243564422917808133/QEJDjS5q_400x400.jpg
45,703074853,Nghiem Vietanh,vietanh678,Hanoi,26796,1024,1508,https://pbs.twimg.com/profile_images/519009486409695232/EOY6GYYf_400x400.jpeg
46,1080858371148832768,Vietnamtonkin1,vietnamtonkin1,,140,1,4,https://pbs.twimg.com/profile_images/1080859057752223744/mIaWHeD5_400x400.jpg
47,1233336518065811456,Bui Hung,BuiHung23708454,Hanoi,88,389,185,https://pbs.twimg.com/profile_images/1233337562648809472/DO9o1Xar_400x400.jpg
48,579518597,RoMi24h.com,honganh456,,2153,288,41,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
49,719455299929636864,Tuấn Việt,tuanviet6268,,208,44,8,https://pbs.twimg.com/profile_images/1241279563449036800/DxquqE44_400x400.jpg
50,1241985343995314177,Tigerlinh,Tigerlinh1,,5,1,0,https://pbs.twimg.com/profile_images/1242015363040083974/Prx-nCp2_400x400.jpg
51,703602186023018496,Tung Ngo,TungNgoCNA,"Hanoi, Vietnam",720,2737,1280,https://pbs.twimg.com/profile_images/1080753306438266882/ZnbGZmHX_400x400.jpg
52,3138340484,EmbaVEVietnam,VietnamVzla,,2071,633,1628,https://pbs.twimg.com/profile_images/1161125497994006529/6jX6F2lu_400x400.jpg
53,1056506525567528961,Vietnamhoc,vietnamhoc,,532,169,8,https://pbs.twimg.com/profile_images/1235615852503826434/gfKofhfF_400x400.jpg
54,917574143813459968,Hanoitimes,Hanoitimes2,,2476,93,412,https://pbs.twimg.com/profile_images/917575104229343232/1iGXyF01_400x400.jpg
55,1182839513384509440,Phaolo Thiêm,PhaoloThiem,"Hà Nội, Việt Nam",69,200,8,https://pbs.twimg.com/profile_images/1182841344777015297/Q12ohCR0_400x400.jpg
56,836164441024520192,GovtOfficeMedia,VNGovtPortal,"Ha Noi, Viet Nam",2681,669,7849,https://pbs.twimg.com/profile_images/1216023283004370945/SEoSYdtG_400x400.jpg
57,298374770,Lap Top,indochinanomads,Hanoi- Vietnam,753,1797,944,https://pbs.twimg.com/profile_images/1235051736194306049/oB7a7JFV_400x400.jpg
58,701100502709219328,𝐓 🧏🏻‍♂️,realT_intoBP,"Hà Nội, Việt Nam",18153,261,381,https://pbs.twimg.com/profile_images/1246007259005501442/K5E064mU_400x400.jpg
59,1017330578,Hoàng Mỹ Tâm Nguyễn,nhmtji116,"Ha Noi, Vietnam",15073,438,4,https://pbs.twimg.com/profile_images/1199380613310009344/EzUQGKq7_400x400.jpg
60,2887616328,vietnam Motorbike,vietnambiker,Hanoi city - Vietnam,2464,3548,695,https://pbs.twimg.com/profile_images/1105013267049537536/tzHM_6dP_400x400.jpg
61,1238020227444563968,Ngô Thành,ngothanh1980,,82,47,6,https://pbs.twimg.com/profile_images/1238022098443890688/_0lVxOLO_400x400.jpg
62,3681278592,Hoang Vuong,vuongqh,Hanoi,404,114,113,https://pbs.twimg.com/profile_images/647387253656842240/5gvSw_So_400x400.png
63,863234834,Hoa Ngo,HoaHanoi,hanoi,3875,146,312,https://pbs.twimg.com/profile_images/544799845752389632/gZEauaTi_400x400.jpeg
64,1307057012,TheDeerHunter,deer_kiler,Hanoi Vietnam ,77748,4414,5307,https://pbs.twimg.com/profile_images/838846004090777602/t1vq-y_r_400x400.jpg
65,935038469864169472,VietnamCredit - The Cafe€redit News,vietnamcredit_,,115,25,8,https://pbs.twimg.com/profile_images/935041553856266240/5IySGMhk_400x400.jpg
66,1215256833520091136,CÁ ~~ 🇻🇳,catrichxanh,"Hà Nội, Việt Nam",1771,110,981,https://pbs.twimg.com/profile_images/1224012951801090048/abymUd15_400x400.jpg
67,159865713,ebaohiem.com,ebaohiem,"Hanoi, Vietnam",1839,8,44,https://pbs.twimg.com/profile_images/1068820973745401856/l_y-Twcd_400x400.jpg
68,1228874146701922304,Sieuthishopbig,sieuthishopbig,,28,1,0,https://pbs.twimg.com/profile_images/1232831095642587136/YuuYG1Iz_400x400.jpg
69,293319496,Quản Trị Mạng,QuanTriMangVN,"Hanoi, VietNam",46207,20,406,https://pbs.twimg.com/profile_images/875200308942692353/fGpPhl4n_400x400.jpg
70,991956352904843264,Thăng Long OSC,OscLong,,200,9,2,https://pbs.twimg.com/profile_images/991957133523435520/JHo4y6qp_400x400.jpg
71,1239101828152745984,Nguyen Duy Tuan Dat,IamNDTD,"Hanoi, Vietnam",19,12,0,https://pbs.twimg.com/profile_images/1239103557925650432/x1Y2VgSY_400x400.jpg
72,402628948,Paul Phan,_paul_phan,Hà Nội,8805,540,340,https://pbs.twimg.com/profile_images/2530865502/rx0d7atnv4jkmf9srvb0_400x400.jpeg
73,1118335609062318082,betbong365,betbong365,,3251,110,16,https://pbs.twimg.com/profile_images/1118336031718121472/xuD9dv2O_400x400.png
74,722133346793291776,Đỗ Minh Thống,typhuvn168,"Hà Nội, Việt Nam",8,54,43,https://pbs.twimg.com/profile_images/1100586800488181760/IfSrC1Mb_400x400.jpg
75,958737088937041920,Vũ Quang Tùng,BaoTGVN,"Hanoi, Vietnam",469,237,50,https://pbs.twimg.com/profile_images/958862431484129280/02TOfADk_400x400.jpg
76,404352422,Kaye MacIver,mrs_iver,"Hanoi, Vietnam",1520,1013,564,https://pbs.twimg.com/profile_images/1194484170124189704/xzdHwLYn_400x400.jpg
77,2931718514,Ngo Van Dung,ngovandungkt1b1,"Ha Noi, Vietnam",1331,143,181,https://pbs.twimg.com/profile_images/994075267701334016/jMkhze_A_400x400.jpg
78,3328280958,"Vu Quoc Ngu, MSc",NguMSc,,689,155,711,https://pbs.twimg.com/profile_images/1192598235161993216/mebU5MJZ_400x400.jpg
79,403227915,leeteukie,leeteukie_13,,301,34,15,https://pbs.twimg.com/profile_images/1210827689201815552/9qvnvmtD_400x400.jpg
80,179642610,Winnie Wakanda Washington 🇿🇦,WinnieWakandaW,"Hanoi, Vietnam",35156,14484,19570,https://pbs.twimg.com/profile_images/1004006547125559297/rbCofH_F_400x400.jpg
81,878206873408651264,Nam,Mackey_Nguyen,"Hanoi, Vietnam",3121,40,40,https://pbs.twimg.com/profile_images/1240687095988928512/djqLD_Er_400x400.jpg
82,1061206732809023488,Binhtwist60,binhtwist60,"Hà Nội, Việt Nam",974,204,35,https://pbs.twimg.com/profile_images/1061209148409315329/MGJ4Sa4W_400x400.jpg
83,1133200254893903873,Nhân Dân en ligne,nhandanenligne,,1214,36,8,https://pbs.twimg.com/profile_images/1133200896052027392/9VeBrUpB_400x400.jpg
84,16941434,TRINH Minh Giang,gmtvn,Hanoi,1015,297,871,https://pbs.twimg.com/profile_images/742991561575829504/_8rjYaG0_400x400.jpg
85,886270740474896386,Nguyen Van Linh,SongLinh9388,"Hà Nội, Việt Nam",19,132,8,https://pbs.twimg.com/profile_images/886271492085825536/myH9CkHy_400x400.jpg
86,120014735,Quỳnh Vũ,quynhvunb,,3453,82,1218,https://pbs.twimg.com/profile_images/1148769250166956032/L1BiS-je_400x400.png
87,544997111,Ambasada RP w Hanoi,PLinVietnam,,2303,210,1783,https://pbs.twimg.com/profile_images/887113307118632961/nNS_PIMS_400x400.jpg
88,1122518262200225792,BRO_GrilledLambSkewers,162Jiyoung,,507,97,72,https://pbs.twimg.com/profile_images/1227621491904114688/k7JSa9zR_400x400.jpg
89,1318472736,ㅊㅇㅂㅂㅎ,NTH_2705,"VIETNAM, HANOI",20813,150,322,https://pbs.twimg.com/profile_images/1244930383935754240/PJd5Rv93_400x400.jpg
