,hashtag,user_id,tweet_id,location
45,#losingjobs,917574143813459968,1242046715932209153,hanoi
46,#covid_19,2601381283,1242022087537000454,hanoi
47,#insighthanoitravel,298374770,1242015642523299840,hanoi
48,#dotherightthing,298374770,1242015642523299840,hanoi
49,#gadventures,298374770,1242015642523299840,hanoi
50,#hanoifoodculture,298374770,1242015642523299840,hanoi
51,#dualsport,2887616328,1242005890179289089,hanoi
52,#adventure,2887616328,1242005890179289089,hanoi
53,#ktm,2887616328,1242005890179289089,hanoi
54,#motorcycle,2887616328,1242005890179289089,hanoi
55,#enduro,2887616328,1242005890179289089,hanoi
56,#vietnam,917574143813459968,1241998530291458049,hanoi
57,#covid19,917574143813459968,1241998530291458049,hanoi
58,#coronavirus,917574143813459968,1241998530291458049,hanoi
59,#ncov,917574143813459968,1241998530291458049,hanoi
60,#pandemic,917574143813459968,1241998530291458049,hanoi
61,#unitedstates,917574143813459968,1241998530291458049,hanoi
62,#hakimngoc,917574143813459968,1241998530291458049,hanoi
63,#ambassador,917574143813459968,1241998530291458049,hanoi
64,#covidー19,1238020227444563968,1241995779859836928,hanoi
65,#vietnam,1238020227444563968,1241995779859836928,hanoi
66,#chineseviruscorona,1238020227444563968,1241995779859836928,hanoi
67,#chinastopslying,1238020227444563968,1241995779859836928,hanoi
68,#viet,863234834,1241989084853047296,hanoi
69,#απαγόρευση_κυκλοφορίας,1307057012,1241977150812585987,hanoi
70,#μενουμεσπιτι,1307057012,1241977150812585987,hanoi
71,#οχι_νεα_κρουσματα,1307057012,1241977150812585987,hanoi
72,#covid_19gr,1307057012,1241977150812585987,hanoi
73,#mewgulf,1215256833520091136,1241954019938947074,hanoi
74,#breaking,836164441024520192,1241939758139363328,hanoi
75,#covid19,402628948,1241903242008621057,hanoi
76,#coronavirus,402628948,1241903242008621057,hanoi
77,#hackernoontopstory,402628948,1241903242008621057,hanoi
78,#betbong365,1118335609062318082,1241902531057455105,hanoi
79,#vietnam,703602186023018496,1241901989052551168,hanoi
80,#chloroquine,703602186023018496,1241901989052551168,hanoi
81,#covid_19,703602186023018496,1241901989052551168,hanoi
